City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Severo-Yeniseyskiy,RU,2022-04-28 02:40:56,71.9667,102.5,26.78,82,100,16.93
207,Severo-Yeniseyskiy,CL,2022-04-28 02:40:56,-37.6167,-73.65,49.33,73,34,0.78
208,Severo-Yeniseyskiy,IN,2022-04-28 02:40:56,8.0833,77.5667,84.54,74,97,2.73
209,Severo-Yeniseyskiy,US,2022-04-28 02:40:57,40.5982,-124.1573,52.14,76,100,5.01
210,Severo-Yeniseyskiy,AU,2022-04-28 02:40:57,-32.7167,152.15,78.85,83,87,8.01
211,Severo-Yeniseyskiy,VE,2022-04-28 02:40:58,10.6038,-67.0303,81.5,78,75,2.3
212,Severo-Yeniseyskiy,ES,2022-04-28 02:40:58,28.6585,-17.9182,58.75,83,0,10.36
213,Severo-Yeniseyskiy,RU,2022-04-28 02:40:58,50.2406,43.5908,47.19,84,0,8.88
214,Severo-Yeniseyskiy,ID,2022-04-28 02:40:59,-9.1061,124.8925,83.61,63,23,3.58
215,Severo-Yeniseyskiy,BY,2022-04-28 02:40:59,52.6333,29.7333,35.31,88,47,5.77
216,Severo-Yeniseyskiy,IN,2022-04-28 02:41:00,24.2667,80.75,98.83,11,0,5.28
217,Severo-Yeniseyskiy,EC,2022-04-28 02:41:00,-2.8833,-78.9833,57.33,88,20,3.44
218,Severo-Yeniseyskiy,ES,2022-04-28 02:41:00,43.4439,-3.4576,56.32,92,100,6.38
219,Severo-Yeniseyskiy,NZ,2022-04-28 02:39:50,-46.2817,169.8464,57.45,63,63,3.56
220,Severo-Yeniseyskiy,CV,2022-04-28 02:41:01,14.8961,-24.4956,71.28,70,4,10.38
221,Severo-Yeniseyskiy,GB,2022-04-28 02:41:01,60.3964,-1.353,43.45,69,100,6.22
222,Severo-Yeniseyskiy,KZ,2022-04-28 02:41:02,48.8264,58.1442,60.01,49,100,10.92
223,Severo-Yeniseyskiy,GA,2022-04-28 02:41:02,-2.65,10.0,74.79,90,94,4.34
224,Severo-Yeniseyskiy,US,2022-04-28 02:40:03,41.1415,-73.3579,44.15,54,0,11.5
225,Severo-Yeniseyskiy,BR,2022-04-28 02:41:03,-25.6956,-51.6597,60.08,95,100,3.09
226,Severo-Yeniseyskiy,GL,2022-04-28 02:41:03,61.994,-49.6678,33.78,98,100,19.3
227,Severo-Yeniseyskiy,RU,2022-04-28 02:41:03,64.3833,-173.3,33.91,80,20,4.47
228,Severo-Yeniseyskiy,US,2022-04-28 02:41:04,37.6138,-122.4869,57.18,79,75,33.38
229,Severo-Yeniseyskiy,ZA,2022-04-28 02:38:41,-34.0033,24.7314,56.17,44,3,7.14
230,Severo-Yeniseyskiy,RU,2022-04-28 02:41:04,49.2167,131.6333,41.41,54,40,11.25
231,Severo-Yeniseyskiy,ZA,2022-04-28 02:42:05,-31.4707,19.776,57.0,29,0,9.28
232,Severo-Yeniseyskiy,OM,2022-04-28 02:39:54,17.0151,54.0924,82.49,78,75,2.3
233,Severo-Yeniseyskiy,PF,2022-04-28 02:42:05,-16.4833,-151.75,81.82,74,18,20.51
234,Severo-Yeniseyskiy,KZ,2022-04-28 02:42:06,43.0369,74.7114,53.64,71,0,11.18
235,Severo-Yeniseyskiy,IN,2022-04-28 02:42:06,26.3667,79.65,101.28,8,0,5.46
236,Severo-Yeniseyskiy,AU,2022-04-28 02:42:06,-31.9,152.4667,79.11,57,40,11.5
237,Severo-Yeniseyskiy,MX,2022-04-28 02:42:07,18.7333,-103.6833,74.12,75,0,1.36
238,Severo-Yeniseyskiy,BR,2022-04-28 02:42:07,-20.4164,-42.9086,63.01,87,0,0.87
239,Severo-Yeniseyskiy,MZ,2022-04-28 02:42:08,-23.865,35.3833,68.59,71,41,9.17
240,Severo-Yeniseyskiy,CI,2022-04-28 02:42:08,8.3667,-4.4333,73.53,88,100,6.73
241,Severo-Yeniseyskiy,MG,2022-04-28 02:42:09,-25.1667,45.05,63.64,86,49,5.95
242,Severo-Yeniseyskiy,US,2022-04-28 02:42:09,57.0531,-135.33,48.09,61,100,11.5
243,Severo-Yeniseyskiy,FO,2022-04-28 02:42:09,62.2266,-6.589,41.92,70,99,4.05
244,Severo-Yeniseyskiy,RO,2022-04-28 02:42:10,46.4333,26.4,49.95,100,100,2.95
245,Severo-Yeniseyskiy,BR,2022-04-28 02:42:10,-5.1989,-35.4608,77.76,86,49,9.89
246,Severo-Yeniseyskiy,RU,2022-04-28 02:42:10,58.484,43.4088,27.34,75,98,9.93
247,Severo-Yeniseyskiy,US,2022-04-28 02:40:15,45.5234,-122.6762,54.18,71,75,4.61
248,Severo-Yeniseyskiy,RO,2022-04-28 02:42:11,45.7833,27.2,52.5,94,99,4.61
249,Severo-Yeniseyskiy,GF,2022-04-28 02:42:11,5.3833,-52.95,78.4,87,100,6.46
250,Severo-Yeniseyskiy,TR,2022-04-28 02:42:12,38.8847,40.4939,57.02,78,100,3.18
251,Severo-Yeniseyskiy,PG,2022-04-28 02:42:12,-6.1219,141.2906,91.27,54,92,2.98
